               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.036075,            0.013253,                   0,             0.91914,             0.90172,              0.9292,             0.45151,            0.028482,            0.014583,                   0,            0.003466,            0.003466,            0.003466
                  68,             0.03686,            0.014568,                   0,             0.91402,             0.90144,             0.92667,             0.45277,            0.028079,            0.014646,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.037198,            0.013803,                   0,             0.91356,             0.90385,             0.92556,             0.45744,             0.02797,            0.014564,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.036583,            0.014337,                   0,             0.91225,             0.90385,             0.92558,             0.45639,            0.027814,            0.014492,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.035796,            0.014441,                   0,             0.91022,             0.90337,             0.92443,             0.45497,            0.028178,            0.014456,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.035949,            0.013808,                   0,             0.91129,             0.90673,             0.92689,             0.45942,            0.027723,            0.014438,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.036755,             0.01496,                   0,             0.91462,             0.90481,              0.9255,             0.46142,            0.027359,            0.014452,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.036347,            0.013546,                   0,             0.91783,             0.90218,              0.9242,             0.46316,            0.026864,             0.01441,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.035134,            0.013149,                   0,             0.91583,             0.90502,              0.9248,             0.46326,            0.027088,            0.014399,                   0,            0.002674,            0.002674,            0.002674
                  76,             0.03584,            0.014171,                   0,              0.9138,             0.90433,             0.92452,             0.46075,            0.027214,            0.014348,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.036428,            0.014451,                   0,             0.91889,             0.90414,             0.92389,             0.46182,             0.02732,            0.014243,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.034025,            0.013015,                   0,             0.92512,                 0.9,             0.92602,             0.46795,            0.027004,            0.014202,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.034811,            0.013831,                   0,             0.92617,             0.90529,             0.92994,             0.46932,            0.026636,             0.01417,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.034977,             0.01383,                   0,              0.9208,             0.90548,             0.92741,             0.46958,            0.026184,            0.014158,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.034763,            0.013944,                   0,             0.91764,             0.90525,             0.92817,             0.46557,            0.026411,            0.014153,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.035625,            0.013888,                   0,             0.91892,             0.91536,             0.93251,             0.46875,            0.026374,            0.014151,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.035483,            0.013635,                   0,              0.9198,             0.91058,             0.93367,             0.47239,            0.026129,            0.014125,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.035038,            0.014027,                   0,             0.91553,             0.91188,             0.93264,             0.46964,            0.026273,            0.014124,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.034455,            0.013841,                   0,             0.91986,             0.91538,             0.93222,             0.47107,            0.025973,            0.014057,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.034423,            0.013509,                   0,             0.92129,             0.91164,             0.93024,             0.47227,            0.025739,            0.014051,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.033732,            0.013444,                   0,             0.92476,             0.91594,             0.93806,             0.47447,            0.025803,            0.014041,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.034332,            0.014476,                   0,             0.92491,             0.91191,             0.93484,             0.47889,            0.025441,            0.013957,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.034871,            0.013764,                   0,             0.92375,             0.90863,             0.93402,             0.47832,             0.02534,            0.013962,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.034188,            0.014028,                   0,             0.92322,             0.90758,             0.93123,             0.47567,            0.025378,            0.013977,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.033665,             0.01345,                   0,             0.92329,             0.90769,             0.93277,             0.47573,            0.025354,             0.01395,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.034107,            0.013223,                   0,             0.92203,             0.90625,             0.92889,             0.48085,            0.025239,            0.013895,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.034306,            0.013596,                   0,              0.9213,             0.90721,             0.92984,             0.48171,            0.025063,            0.013897,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.032648,            0.012882,                   0,             0.92137,             0.90913,             0.93263,             0.48386,            0.024961,            0.013887,                   0,            0.000793,            0.000793,            0.000793
                  95,             0.03355,            0.013105,                   0,             0.92468,             0.90893,             0.93344,             0.48317,            0.024896,            0.013889,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.032974,            0.013532,                   0,             0.92061,             0.90874,             0.93134,             0.48161,            0.024884,            0.013854,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.033399,            0.014187,                   0,             0.92318,             0.91106,             0.93264,             0.48164,            0.024746,             0.01385,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.032579,            0.013458,                   0,             0.92546,             0.91332,             0.93375,             0.48256,            0.024624,             0.01384,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.033632,            0.013081,                   0,             0.92419,             0.90847,             0.93149,             0.48336,            0.024459,             0.01383,                   0,            0.000298,            0.000298,            0.000298
